# ----------------------------------------
# Demographic details: City
# Account: GDM
# Property: Global Diamond Montreal - Shopify
# ----------------------------------------
# 
# All Users
# Start date: 20260101
# End date: 20260411
City,Active users,New users,Engaged sessions,Engagement rate,Engaged sessions per active user,Average engagement time per active user,Event count,Key events,User key event rate,Total revenue
Montreal,6976,6164,6226,0.6167409608717187,0.8924885321100917,94.7497133027523,102693,3,0.30690940366972475,6745
Toronto,5469,4784,4197,0.5870751154007553,0.7674163466812945,50.08831596269885,55918,4,0.18230023770341927,7874.999999
(not set),4964,4459,1771,0.3278415401703073,0.35676873489121674,24.614625302175664,32571,3,0.09367445608380338,5922
Calgary,1579,1417,1091,0.5482412060301508,0.6909436352121596,46.33628879037365,15280,3,0.17606079797340088,3620
Ottawa,1502,1328,1112,0.5351299326275265,0.7403462050599201,60.72636484687084,17061,3,0.237017310252996,6629.999998
Vancouver,1196,1045,864,0.5489199491740788,0.7224080267558528,52.535953177257525,12222,4,0.1939799331103679,6910.000001
Edmonton,855,793,556,0.5310410697230181,0.6502923976608187,41.67134502923977,8007,1,0.17543859649122806,699.999999
Winnipeg,801,722,600,0.5571030640668524,0.7490636704119851,50.71910112359551,8070,0,0.18851435705368288,0
Laval,779,697,612,0.5947521865889213,0.785622593068036,94.16944801026958,10801,0,0.2682926829268293,0
Mississauga,631,557,493,0.5779601406799532,0.7812995245641838,43.22662440570523,6035,1,0.18858954041204437,810
Brampton,560,528,379,0.514246947082768,0.6767857142857143,46.00535714285714,5181,1,0.15892857142857142,460
Quebec City,550,473,419,0.5700680272108843,0.7618181818181818,73.38727272727273,6725,0,0.2690909090909091,0
Hamilton,533,460,365,0.5775316455696202,0.6848030018761726,47.127579737335836,4878,0,0.1669793621013133,0
Surrey,511,458,336,0.56,0.6575342465753424,31.735812133072407,4027,0,0.14481409001956946,0
Lanzhou,497,473,97,0.19477911646586346,0.19517102615694165,0.24949698189134809,1703,0,0.1750503018108652,0
London,458,403,332,0.5684931506849316,0.7248908296943232,58.6528384279476,4869,1,0.22270742358078602,649.999999
Vaughan,398,341,285,0.5962343096234309,0.7160804020100503,52.05527638190955,3901,0,0.1934673366834171,0
Longueuil,397,362,352,0.6330935251798561,0.8866498740554156,75.53400503778337,5438,0,0.3350125944584383,0
Windsor,391,298,286,0.59958071278826,0.731457800511509,51.85421994884911,3822,0,0.19948849104859334,0
Gatineau,377,330,308,0.5789473684210527,0.8169761273209549,87.54376657824933,5588,2,0.259946949602122,2547
Halifax,375,313,303,0.5894941634241245,0.808,77.56,4757,1,0.248,3402
St. John's,341,316,274,0.5239005736137667,0.8035190615835777,63.205278592375365,3907,0,0.23460410557184752,0
Oakville,315,245,253,0.6520618556701031,0.8031746031746032,63.55555555555556,3386,1,0.20634920634920634,810.000001
Saint-Jerome,295,217,214,0.6369047619047619,0.7254237288135593,60.054237288135596,2902,0,0.23389830508474577,0
Sherbrooke,293,233,257,0.6727748691099477,0.8771331058020477,78.2764505119454,3807,1,0.2901023890784983,1350
Kitchener,290,248,193,0.5693215339233039,0.6655172413793103,44.60689655172414,2638,0,0.19310344827586207,0
Saskatoon,287,261,202,0.5674157303370787,0.7038327526132404,32.20905923344948,2743,0,0.2264808362369338,0
Singapore,262,223,79,0.30038022813688214,0.3015267175572519,2.030534351145038,871,0,0.06870229007633588,0
Saint-Hyacinthe,259,191,201,0.6547231270358306,0.7760617760617761,56.76833976833977,2765,0,0.23938223938223938,0
Trois-Rivieres,257,196,203,0.628482972136223,0.7898832684824902,62.29182879377432,3033,1,0.2529182879377432,1649.999999
