# ----------------------------------------
# Traffic acquisition: Session primary channel group (Default Channel Group)
# Account: Estate Jewerly Priced Right 
# Property: Estate Jewelry - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20260228
# End date: 20260329
Session primary channel group (Default Channel Group),Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
Paid Social,11036,4682,0.42424791591156213,24.83345415005437,7.001268575570859,77266,13,0.0011779630300833635,10664
Unassigned,3109,1826,0.587327114827919,78.67417175940817,10.471212608555806,32555,4,0.001286587327114828,2293
Paid Shopping,948,400,0.4219409282700422,18.520042194092827,5.277426160337553,5003,0,0,0
Organic Social,847,627,0.7402597402597403,82.60448642266824,11.795749704840613,9991,3,0.0035419126328217238,3750
Direct,744,422,0.5672043010752689,85.05376344086021,9.451612903225806,7032,4,0.005376344086021506,2499.5
Paid Search,293,154,0.5255972696245734,31.133105802047783,6.873720136518771,2014,0,0,0
Organic Search,253,169,0.6679841897233202,89.75494071146245,11.264822134387352,2850,2,0.007905138339920948,1345
Cross-network,57,30,0.5263157894736842,41.29824561403509,7.578947368421052,432,0,0,0
Organic Shopping,53,38,0.7169811320754716,130.69811320754718,24.49056603773585,1298,0,0,0
Referral,50,32,0.64,47.38,8.9,445,0,0,0
Email,3,3,1,242.66666666666666,48.333333333333336,145,1,0.3333333333333333,607.49
Organic Video,3,2,0.6666666666666666,58.333333333333336,9.666666666666666,29,0,0,0
Paid Other,1,1,1,71,21,21,0,0,0
